Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'konda' | Inverse Document Frequency: 3.5056925074122
Term: 'ativ' | Document Frequency: 2
Term: 'ativ' | Inverse Document Frequency: 3.204662511748219
Term: 'haubrich' | Document Frequency: 1
Term: 'haubrich' | Inverse Document Frequency: 3.5056925074122
Term: 'steep2' | Document Frequency: 1
Term: 'steep2' | Inverse Document Frequency: 3.5056925074122
Term: '204' | Document Frequency: 1
Term: '204' | Inverse Document Frequency: 3.5056925074122
Term: 'steep1' | Document Frequency: 3
Term: 'steep1' | Inverse Document Frequency: 3.0285712526925375
Term: '203' | Document Frequency: 3
Term: '203' | Inverse Document Frequency: 3.0285712526925375
Term: '202' | Document Frequency: 3
Term: '202' | Inverse Document Frequency: 3.0285712526925375
Term: 'shen' | Document Frequency: 3
Term: 'shen' | Inverse Document Frequency: 3.0285712526925375
Term: 'semiit' | Document Frequency: 1
Term: 'semiit' | Inverse Document Frequency: 3.5056925074122
Term: 'arctang' | Document Frequency: 2
Term: 'arctang' | Inverse Document Frequency: 3.204662511748219
Term: 'chu' | Document Frequency: 5
Term: 'chu' | Inverse Document Frequency: 2.8067225030761813
Term: 'saathoff' | Document Frequency: 1
Term: 'saathoff' | Inverse Document Frequency: 3.5056925074122
Term: 'onstochast' | Document Frequency: 1
Term: 'onstochast' | Inverse Document Frequency: 3.5056925074122
Term: 'dumei' | Document Frequency: 1
Term: 'dumei' | Inverse Document Frequency: 3.5056925074122
Term: 'newberi' | Document Frequency: 2
Term: 'newberi' | Inverse Document Frequency: 3.204662511748219
Term: 'convert' | Document Frequency: 40
Term: 'convert' | Inverse Document Frequency: 1.9036325160842376
Term: 'egler' | Document Frequency: 1
Term: 'egler' | Inverse Document Frequency: 3.5056925074122
Term: 'ye' | Document Frequency: 2
Term: 'ye' | Inverse Document Frequency: 3.204662511748219
Term: 'indiscreet' | Document Frequency: 1
Term: 'indiscreet' | Inverse Document Frequency: 3.5056925074122
Term: 'superior' | Document Frequency: 27
Term: 'superior' | Inverse Document Frequency: 2.0743287432532127
Term: 'step' | Document Frequency: 49
Term: 'step' | Inverse Document Frequency: 1.8154964273836864
Term: 'decreas' | Document Frequency: 23
Term: 'decreas' | Inverse Document Frequency: 2.143964671394607
Term: 'significantli' | Document Frequency: 19
Term: 'significantli' | Inverse Document Frequency: 2.226938906459371
Term: 'danielson' | Document Frequency: 1
Term: 'danielson' | Inverse Document Frequency: 3.5056925074122
Term: 'skelet' | Document Frequency: 2
Term: 'skelet' | Inverse Document Frequency: 3.204662511748219
Term: 'cpa' | Document Frequency: 1
Term: 'cpa' | Inverse Document Frequency: 3.5056925074122
Term: 'inner' | Document Frequency: 6
Term: 'inner' | Inverse Document Frequency: 2.727541257028556
Term: 'interrelationship' | Document Frequency: 4
Term: 'interrelationship' | Inverse Document Frequency: 2.9036325160842376
Term: 'relationship' | Document Frequency: 50
Term: 'relationship' | Inverse Document Frequency: 1.8067225030761813
Term: 'sigma' | Document Frequency: 1
Term: 'sigma' | Inverse Document Frequency: 3.5056925074122
Term: 'pi' | Document Frequency: 2
Term: 'pi' | Inverse Document Frequency: 3.204662511748219
Term: 'dangl' | Document Frequency: 2
Term: 'dangl' | Inverse Document Frequency: 3.204662511748219
Term: 'els' | Document Frequency: 6
Term: 'els' | Inverse Document Frequency: 2.727541257028556
Term: 'revis' | Document Frequency: 17
Term: 'revis' | Inverse Document Frequency: 2.275243586033926
Term: 'sketch' | Document Frequency: 4
Term: 'sketch' | Inverse Document Frequency: 2.9036325160842376
Term: 'diforino' | Document Frequency: 1
Term: 'diforino' | Inverse Document Frequency: 3.5056925074122
Term: 'eickel' | Document Frequency: 2
Term: 'eickel' | Inverse Document Frequency: 3.204662511748219
Term: 'paul' | Document Frequency: 5
Term: 'paul' | Inverse Document Frequency: 2.8067225030761813
Term: '170' | Document Frequency: 3
Term: '170' | Inverse Document Frequency: 3.0285712526925375
Term: '164' | Document Frequency: 2
Term: '164' | Inverse Document Frequency: 3.204662511748219
Term: 'bitterli' | Document Frequency: 1
Term: 'bitterli' | Inverse Document Frequency: 3.5056925074122
Term: 'xymov' | Document Frequency: 2
Term: 'xymov' | Inverse Document Frequency: 3.204662511748219
Term: 'plot' | Document Frequency: 26
Term: 'plot' | Inverse Document Frequency: 2.090719159441382
Term: '162' | Document Frequency: 3
Term: '162' | Inverse Document Frequency: 3.0285712526925375
Term: 'fletcher' | Document Frequency: 5
Term: 'fletcher' | Inverse Document Frequency: 2.8067225030761813
Term: 'wolfson' | Document Frequency: 4
Term: 'wolfson' | Inverse Document Frequency: 2.9036325160842376
Term: 'apr' | Document Frequency: 3
Term: 'apr' | Inverse Document Frequency: 3.0285712526925375
Term: 'thoro' | Document Frequency: 3
Term: 'thoro' | Inverse Document Frequency: 3.0285712526925375
Term: '156' | Document Frequency: 2
Term: '156' | Inverse Document Frequency: 3.204662511748219
Term: 'bosworth' | Document Frequency: 4
Term: 'bosworth' | Inverse Document Frequency: 2.9036325160842376
Term: '155' | Document Frequency: 2
Term: '155' | Inverse Document Frequency: 3.204662511748219
Term: '154' | Document Frequency: 2
Term: '154' | Inverse Document Frequency: 3.204662511748219
Term: 'gomori' | Document Frequency: 4
Term: 'gomori' | Inverse Document Frequency: 2.9036325160842376
Term: '153' | Document Frequency: 7
Term: '153' | Inverse Document Frequency: 2.660594467397943
Term: 'lefkowitz' | Document Frequency: 1
Term: 'lefkowitz' | Inverse Document Frequency: 3.5056925074122
Term: 'desopo' | Document Frequency: 1
Term: 'desopo' | Inverse Document Frequency: 3.5056925074122
Term: 'russel' | Document Frequency: 3
Term: 'russel' | Inverse Document Frequency: 3.0285712526925375
Term: 'domingo' | Document Frequency: 2
Term: 'domingo' | Inverse Document Frequency: 3.204662511748219
Term: 'rodriguezgil' | Document Frequency: 2
Term: 'rodriguezgil' | Inverse Document Frequency: 3.204662511748219
Term: 'alg107' | Document Frequency: 1
Term: 'alg107' | Inverse Document Frequency: 3.5056925074122
Term: 'alg120' | Document Frequency: 1
Term: 'alg120' | Inverse Document Frequency: 3.5056925074122
Term: 'gjr' | Document Frequency: 1
Term: 'gjr' | Inverse Document Frequency: 3.5056925074122
Term: 'bridg' | Document Frequency: 2
Term: 'bridg' | Inverse Document Frequency: 3.204662511748219
Term: 'shellsort' | Document Frequency: 4
Term: 'shellsort' | Inverse Document Frequency: 2.9036325160842376
Term: '201' | Document Frequency: 4
Term: '201' | Inverse Document Frequency: 2.9036325160842376
Term: 'calendar' | Document Frequency: 8
Term: 'calendar' | Inverse Document Frequency: 2.6026025204202563
Term: 'julian' | Document Frequency: 2
Term: 'julian' | Inverse Document Frequency: 3.204662511748219
Term: 'dai' | Document Frequency: 7
Term: 'dai' | Inverse Document Frequency: 2.660594467397943
Term: '199' | Document Frequency: 2
Term: '199' | Inverse Document Frequency: 3.204662511748219
Term: 'tantzen' | Document Frequency: 1
Term: 'tantzen' | Inverse Document Frequency: 3.5056925074122
Term: '198' | Document Frequency: 1
Term: '198' | Inverse Document Frequency: 3.5056925074122
Term: '197' | Document Frequency: 2
Term: '197' | Inverse Document Frequency: 3.204662511748219
Term: '196' | Document Frequency: 3
Term: '196' | Inverse Document Frequency: 3.0285712526925375
Term: 'roman' | Document Frequency: 2
Term: 'roman' | Inverse Document Frequency: 3.204662511748219
Term: 'bandsolv' | Document Frequency: 2
Term: 'bandsolv' | Inverse Document Frequency: 3.204662511748219
Term: '195' | Document Frequency: 1
Term: '195' | Inverse Document Frequency: 3.5056925074122
Term: 'thurnau' | Document Frequency: 1
Term: 'thurnau' | Inverse Document Frequency: 3.5056925074122
Term: 'zersol' | Document Frequency: 1
Term: 'zersol' | Inverse Document Frequency: 3.5056925074122
Term: '194' | Document Frequency: 1
Term: '194' | Inverse Document Frequency: 3.5056925074122
Term: 'key' | Document Frequency: 1
Term: 'key' | Inverse Document Frequency: 3.5056925074122
Term: 'alphamer' | Document Frequency: 2
Term: 'alphamer' | Inverse Document Frequency: 3.204662511748219
Term: 'bowlden' | Document Frequency: 3
Term: 'bowlden' | Inverse Document Frequency: 3.0285712526925375
Term: 'wordlength' | Document Frequency: 3
Term: 'wordlength' | Inverse Document Frequency: 3.0285712526925375
Term: 'algoltyp' | Document Frequency: 1
Term: 'algoltyp' | Inverse Document Frequency: 3.5056925074122
Term: 'algollik' | Document Frequency: 5
Term: 'algollik' | Inverse Document Frequency: 2.8067225030761813
Term: 'berner' | Document Frequency: 1
Term: 'berner' | Inverse Document Frequency: 3.5056925074122
Term: 'sabrag' | Document Frequency: 1
Term: 'sabrag' | Inverse Document Frequency: 3.5056925074122
Term: 'timeshar' | Document Frequency: 71
Term: 'timeshar' | Inverse Document Frequency: 1.6544341586931248
Term: 'lowcost' | Document Frequency: 3
Term: 'lowcost' | Inverse Document Frequency: 3.0285712526925375
Term: 'lehman' | Document Frequency: 1
Term: 'lehman' | Inverse Document Frequency: 3.5056925074122
Term: 'netter' | Document Frequency: 1
Term: 'netter' | Inverse Document Frequency: 3.5056925074122
Term: 'esh' | Document Frequency: 1
Term: 'esh' | Inverse Document Frequency: 3.5056925074122
Term: 'sabrac' | Document Frequency: 1
Term: 'sabrac' | Inverse Document Frequency: 3.5056925074122
Term: 'israel' | Document Frequency: 1
Term: 'israel' | Inverse Document Frequency: 3.5056925074122
Term: 'ministri' | Document Frequency: 1
Term: 'ministri' | Inverse Document Frequency: 3.5056925074122
Term: '5000locat' | Document Frequency: 1
Term: '5000locat' | Inverse Document Frequency: 3.5056925074122
Term: 'resort' | Document Frequency: 1
Term: 'resort' | Inverse Document Frequency: 3.5056925074122
Term: '224word' | Document Frequency: 1
Term: '224word' | Inverse Document Frequency: 3.5056925074122
Term: 'obei' | Document Frequency: 2
Term: 'obei' | Inverse Document Frequency: 3.204662511748219
Term: 'twin' | Document Frequency: 2
Term: 'twin' | Inverse Document Frequency: 3.204662511748219
Term: 'papertap' | Document Frequency: 1
Term: 'papertap' | Inverse Document Frequency: 3.5056925074122
Term: 'autonom' | Document Frequency: 1
Term: 'autonom' | Inverse Document Frequency: 3.5056925074122
Term: 'interlock' | Document Frequency: 5
Term: 'interlock' | Inverse Document Frequency: 2.8067225030761813
Term: 'incorporatedin' | Document Frequency: 1
Term: 'incorporatedin' | Inverse Document Frequency: 3.5056925074122
Term: 'temporari' | Document Frequency: 7
Term: 'temporari' | Inverse Document Frequency: 2.660594467397943
Term: 'jump' | Document Frequency: 6
Term: 'jump' | Inverse Document Frequency: 2.727541257028556
Term: 'doubl' | Document Frequency: 8
Term: 'doubl' | Inverse Document Frequency: 2.6026025204202563
Term: 'muchhigh' | Document Frequency: 1
Term: 'muchhigh' | Inverse Document Frequency: 3.5056925074122
Term: 'lead' | Document Frequency: 35
Term: 'lead' | Inverse Document Frequency: 1.9616244630619244
Term: 'catalogu' | Document Frequency: 2
Term: 'catalogu' | Inverse Document Frequency: 3.204662511748219
Term: 'scheff' | Document Frequency: 2
Term: 'scheff' | Inverse Document Frequency: 3.204662511748219
Term: 'transitiondiagram' | Document Frequency: 1
Term: 'transitiondiagram' | Inverse Document Frequency: 3.5056925074122
Term: 'onepass' | Document Frequency: 4
Term: 'onepass' | Inverse Document Frequency: 2.9036325160842376
Term: 'smaller' | Document Frequency: 13
Term: 'smaller' | Inverse Document Frequency: 2.391749155105363
Term: 'plu' | Document Frequency: 21
Term: 'plu' | Inverse Document Frequency: 2.183473212678281
Term: 'loader' | Document Frequency: 7
Term: 'loader' | Inverse Document Frequency: 2.660594467397943
Term: 'corbato' | Document Frequency: 1
Term: 'corbato' | Inverse Document Frequency: 3.5056925074122
Term: 'daggett' | Document Frequency: 1
Term: 'daggett' | Inverse Document Frequency: 3.5056925074122
Term: '177' | Document Frequency: 2
Term: '177' | Inverse Document Frequency: 3.204662511748219
Term: 'syng' | Document Frequency: 3
Term: 'syng' | Inverse Document Frequency: 3.0285712526925375
Term: 'syminv2' | Document Frequency: 4
Term: 'syminv2' | Inverse Document Frequency: 2.9036325160842376
Term: '150' | Document Frequency: 14
Term: '150' | Inverse Document Frequency: 2.359564471733962
Term: 'kondo' | Document Frequency: 1
Term: 'kondo' | Inverse Document Frequency: 3.5056925074122
Term: 'moler' | Document Frequency: 4
Term: 'moler' | Inverse Document Frequency: 2.9036325160842376
Term: 'hypergeometr' | Document Frequency: 5
Term: 'hypergeometr' | Inverse Document Frequency: 2.8067225030761813
Term: '192' | Document Frequency: 2
Term: '192' | Inverse Document Frequency: 3.204662511748219
Term: '191' | Document Frequency: 3
Term: '191' | Inverse Document Frequency: 3.0285712526925375
Term: '190' | Document Frequency: 2
Term: '190' | Inverse Document Frequency: 3.204662511748219
Term: '189' | Document Frequency: 1
Term: '189' | Inverse Document Frequency: 3.5056925074122
Term: 'rodriguez' | Document Frequency: 1
Term: 'rodriguez' | Inverse Document Frequency: 3.5056925074122
Term: 'gil' | Document Frequency: 1
Term: 'gil' | Inverse Document Frequency: 3.5056925074122
Term: '188' | Document Frequency: 1
Term: '188' | Inverse Document Frequency: 3.5056925074122
Term: '187' | Document Frequency: 1
Term: '187' | Inverse Document Frequency: 3.5056925074122
Term: 'vand' | Document Frequency: 2
Term: 'vand' | Inverse Document Frequency: 3.204662511748219
Term: 'riet' | Document Frequency: 3
Term: 'riet' | Inverse Document Frequency: 3.0285712526925375
Term: '186' | Document Frequency: 1
Term: '186' | Inverse Document Frequency: 3.5056925074122
Term: '185' | Document Frequency: 1
Term: '185' | Inverse Document Frequency: 3.5056925074122
Term: 'colker' | Document Frequency: 2
Term: 'colker' | Inverse Document Frequency: 3.204662511748219
Term: 'erlang' | Document Frequency: 2
Term: 'erlang' | Inverse Document Frequency: 3.204662511748219
Term: '184' | Document Frequency: 1
Term: '184' | Inverse Document Frequency: 3.5056925074122
Term: 'nexcom' | Document Frequency: 2
Term: 'nexcom' | Inverse Document Frequency: 3.204662511748219
Term: '152' | Document Frequency: 43
Term: '152' | Inverse Document Frequency: 1.8722240518326134
Term: 'hoplei' | Document Frequency: 2
Term: 'hoplei' | Inverse Document Frequency: 3.204662511748219
Term: 'senzig' | Document Frequency: 1
Term: 'senzig' | Inverse Document Frequency: 3.5056925074122
Term: 'eisman' | Document Frequency: 1
Term: 'eisman' | Inverse Document Frequency: 3.5056925074122
Term: 'gordon' | Document Frequency: 4
Term: 'gordon' | Inverse Document Frequency: 2.9036325160842376
Term: 'fileiii' | Document Frequency: 1
Term: 'fileiii' | Inverse Document Frequency: 3.5056925074122
Term: 'head' | Document Frequency: 16
Term: 'head' | Inverse Document Frequency: 2.301572524756275
Term: 'guidelin' | Document Frequency: 11
Term: 'guidelin' | Inverse Document Frequency: 2.464299822253975
Term: 'delin' | Document Frequency: 6
Term: 'delin' | Inverse Document Frequency: 2.727541257028556
Term: 'bc' | Document Frequency: 1
Term: 'bc' | Inverse Document Frequency: 3.5056925074122
Term: 'nelliac' | Document Frequency: 1
Term: 'nelliac' | Inverse Document Frequency: 3.5056925074122
Term: 'love' | Document Frequency: 1
